,ideology,state,name,party,twitter_handler
110,0.3156945245938585,CA,Pete Aguilar,D,@aguilarpete
111,0.3159832021711745,CA,Eric Swalwell,D,@RepSwalwell
112,0.3167103815636064,MO,Lacy Clay,D,
113,0.31988138514004666,MA,Joseph Kennedy,D,
114,0.3207803328740702,NC,George Butterfield,D,
115,0.3248434357267029,MI,Sander Levin,D,
116,0.32502128953893605,TX,Lloyd Doggett,D,@RepLloydDoggett
117,0.3277463557134471,NY,Brian Higgins,D,@RepBrianHiggins
118,0.3301879941226595,PA,Matthew Cartwright,D,
119,0.3304830399653942,MP,Gregorio Sablan,D,
120,0.3309530542815645,CA,Julia Brownley,D,@RepBrownley
121,0.3309989443656557,FL,Theodore Deutch,D,
122,0.3318907923772841,SC,Jim Clyburn,D,
123,0.3345092835225539,FL,Al Lawson,D,
124,0.3345355730244057,CA,Jimmy Panetta,D,@RepJimmyPanetta
125,0.3353193174877628,OH,Tim Ryan,D,@RepTimRyan
126,0.33533757961471505,IL,Raja Krishnamoorthi,D,@CongressmanRaja
127,0.3356904535895149,FL,Charlie Crist,D,@RepCharlieCrist
128,0.3361481867393019,NC,David Price,D,@RepDavidEPrice
129,0.3365520115788244,CA,Tony Cárdenas,D,@RepCardenas
130,0.33672602742732705,VA,Gerald Connolly,D,
131,0.3382445297565082,HI,Tulsi Gabbard,D,@TulsiPress
132,0.3384846959667225,FL,Lois Frankel,D,@RepLoisFrankel
133,0.3387825603482401,TX,Marc Veasey,D,@RepVeasey
134,0.3446965157461198,NJ,Donald Norcross,D,@DonaldNorcross
135,0.3456162572177172,IL,Bill Foster,D,@RepBillFoster
136,0.34574252068281336,PA,Brendan Boyle,D,@CongBoyle
137,0.34695080434198644,TX,Joaquin Castro,D,@JoaquinCastrotx
138,0.3471575406749793,CO,Jared Polis,D,@jaredpolis
139,0.3479138551680179,MA,Seth Moulton,D,@sethmoulton
140,0.34843385726965426,NM,Ben Luján,D,
141,0.3534547824600401,OH,Joyce Beatty,D,@RepBeatty
142,0.3560442232373668,TX,Beto O’Rourke,D,
143,0.3567180863222403,WA,Suzan DelBene,D,@RepDelBene
144,0.3575204639124729,NJ,Bill Pascrell,D,@BillPascrell
145,0.3598380415222341,GU,Madeleine Bordallo,D,
146,0.3616240838115611,MO,Emanuel Cleaver,D,@repcleaver
147,0.3659836839693475,CT,Elizabeth Esty,D,
148,0.3688343041463851,CA,Scott Peters,D,@RepScottPeters
149,0.3711260842684052,MN,Richard Nolan,D,
150,0.3715640139475281,CO,Ed Perlmutter,D,@RepPerlmutter
151,0.37598401559951256,NY,Joseph Morelle,D,
152,0.3766881200095045,MD,Steny Hoyer,D,@LeaderHoyer
153,0.3800927998303865,OR,Peter DeFazio,D,@RepPeterDeFazio
154,0.38095926855473455,NY,Kathleen Rice,D,@RepKathleenRice
155,0.3824464581598751,CA,Nancy Pelosi,D,@SpeakerPelosi
156,0.3859882630233734,WA,Denny Heck,D,@RepDennyHeck
157,0.3884941034703397,CT,Joe Courtney,D,@RepJoeCourtney
158,0.3914972508507549,PA,Robert Brady,D,
159,0.3927612468265972,CT,John Larson,D,@RepJohnLarson
160,0.39294972723011135,PA,Mike Doyle,D,@USRepMikeDoyle
161,0.3977268964491537,CT,James Himes,D,
162,0.40004304220091175,NV,Jacky Rosen,D,@SenJackyRosen
163,0.4000559289416492,MA,Richard Neal,D,@RepRichardNeal
164,0.40243972002288425,CA,Luis Correa,D,
165,0.41162086736179065,CA,Mike Thompson,D,@RepThompson
166,0.4116692432829445,TX,Filemon Vela,D,
167,0.4128073791317179,CA,Raul Ruiz,D,@CongressmanRuiz
168,0.4178130939718298,IN,Peter Visclosky,D,
169,0.4179516331457454,PA,Mary Scanlon,D,
170,0.4193387187727951,IL,Cheri Bustos,D,@RepCheri
171,0.4201660291438507,PA,Conor Lamb,D,@RepConorLamb
172,0.4202220426276496,NY,Thomas Suozzi,D,
173,0.42180232067433343,PA,Susan Wild,D,@RepSusanWild
174,0.4240097226454065,WA,Derek Kilmer,D,@RepDerekKilmer
175,0.4293736355526366,NH,Ann Kuster,D,
176,0.4305717955200164,GA,David Scott,D,@repdavidscott
177,0.4313705687137213,AL,Terri Sewell,D,@RepTerriSewell
178,0.4360545324511971,CA,Brad Sherman,D,@BradSherman
179,0.44184147994787387,TN,Jim Cooper,D,@repjimcooper
180,0.4435163986481513,CA,Ami Bera,D,@RepBera
181,0.4463524001693265,IL,Bradley Schneider,D,
182,0.4467243448394545,FL,Stephanie Murphy,D,@RepStephMurphy
183,0.450033858388774,IL,Daniel Lipinski,D,@RepLipinski
184,0.4509796632808349,MI,Brenda Jones,D,
185,0.4513831522393456,GA,Sanford Bishop,D,@SanfordBishop
186,0.4536858746868266,TX,Gene Green,D,
187,0.4538792345810471,MD,Dutch Ruppersberger,D,@Call_Me_Dutch
188,0.4559314364821782,MN,Timothy Walz,D,
189,0.4584089333357799,WI,Paul Ryan,R,
190,0.463007769784148,IA,David Loebsack,D,
191,0.4634490594097852,OK,Kevin Hern,R,@repkevinhern
192,0.4709742345522774,OH,Troy Balderson,R,@RepBalderson
193,0.4795265512698514,MD,John Delaney,D,
